기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2015	서울시	합계	820,658	272,567	5,108,828	2,887,719	2,221,109	631,635	1,585,519	150,004	2,731,540	18,791	676,175	20,228	115,594	767,371	3,267,847	15,271	1,053,006	38,016	787,975
2015	서울시	농업 임업 및 어업	17	3	491	401	90	-	-	10	246	7	245	-	-	11	142	4	345	2	4
2015	서울시	광업	23	3	69	57	12	1	1	22	68	-	-	-	-	21	60	2	9	-	-
2015	서울시	제조업	62,211	13,725	287,414	167,339	120,075	52,425	157,655	9,641	127,830	128	1,720	17	209	60,522	232,451	1,022	42,511	667	12,452
2015	서울시	전기 가스 증기 및 수도사업	137	5	8,713	7,084	1,629	5	9	72	3,757	59	4,942	1	5	67	2,514	15	2,732	55	3,467
2015	서울시	하수폐기물처리 원료재생 및 환경복원업	463	59	6,712	5,817	895	66	237	322	6,005	75	470	-	-	406	5,722	25	540	32	450
2015	서울시	건설업	22,695	3,131	360,192	313,276	46,916	11,635	30,701	11,035	328,656	21	781	4	54	21,526	236,300	689	99,857	480	24,035
2015	서울시	도매 및 소매업	234,494	86,082	912,406	513,648	398,758	182,764	390,799	50,925	515,992	707	4,922	98	693	217,863	602,468	4,962	168,228	11,669	141,710
2015	서울시	운수업	93,642	4,425	279,921	235,642	44,279	87,830	98,988	4,920	162,237	802	18,092	90	604	91,595	182,871	730	65,114	1,317	31,936
2015	서울시	숙박 및 음식점업	126,785	69,749	480,090	196,003	284,087	117,991	356,734	8,478	120,410	227	2,594	89	352	120,248	385,398	577	13,690	5,960	81,002
