기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2014	서울시	합계	812,798	270,228	4,739,883	2,679,567	2,060,316	628,077	1,538,324	145,456	2,445,582	17,970	638,081	21,295	117,896	761,254	3,069,802	15,371	974,753	36,173	695,328
2014	서울시	농업 임업 및 어업	14	3	214	157	57	-	-	9	50	5	164	-	-	10	53	3	159	1	2
2014	서울시	광업	29	1	652	468	184	2	4	26	84	1	564	-	-	24	74	5	578	-	-
2014	서울시	제조업	61,218	13,126	283,523	166,679	116,844	51,399	155,712	9,662	125,495	131	1,658	26	658	59,235	229,274	1,181	40,930	802	13,319
2014	서울시	전기 가스 증기 및 수도사업	140	4	7,771	6,178	1,593	10	46	72	3,433	57	4,287	1	5	77	2,228	16	2,595	47	2,948
2014	서울시	하수폐기물처리 원료재생 및 환경복원업	470	58	6,788	5,832	956	66	218	326	6,041	77	528	1	1	411	5,639	28	747	31	402
2014	서울시	건설업	22,049	2,862	283,226	243,983	39,243	11,171	25,648	10,840	256,362	31	1,195	7	21	20,738	172,132	774	91,214	537	19,880
2014	서울시	도매 및 소매업	233,196	85,027	859,536	487,711	371,825	181,087	380,345	51,271	472,828	715	5,982	123	381	216,467	586,982	4,945	142,004	11,784	130,550
2014	서울시	운수업	95,128	4,393	260,415	219,150	41,265	89,336	99,777	5,049	145,062	656	14,984	87	592	93,212	175,814	743	56,003	1,173	28,598
2014	서울시	숙박 및 음식점업	126,557	71,152	462,721	186,165	276,556	118,632	353,131	7,640	106,920	197	2,327	88	343	120,639	377,139	513	14,836	5,405	70,746
