기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2013	종로구	교육 서비스업	866	351	12,325	5,821	6,504	515	1,796	159	2,149	133	8,146	59	234	745	5,649	33	3,662	88	3,014
2013	종로구	보건업 및 사회복지 서비스업	654	208	12,522	3,330	9,192	533	2,787	6	43	76	9,116	39	576	600	4,099	19	7,598	35	825
2013	종로구	예술 스포츠 및 여가관련 서비스업	854	262	5,022	2,767	2,255	655	1,534	89	972	70	2,396	40	120	803	3,337	13	824	38	861
2013	종로구	협회 및 단체 수리 및 기타 개인서비스업	2,627	737	7,850	4,286	3,564	1,544	2,681	25	239	380	2,760	678	2,170	2,495	6,017	66	1,189	66	644
2013	중구	합계	64,846	23,162	370,070	209,289	160,781	54,227	117,909	8,907	200,897	976	47,376	736	3,888	60,928	207,921	1,280	113,171	2,638	48,978
2013	중구	농업 임업 및 어업	1	-	12	10	2	-	-	1	12	-	-	-	-	-	-	-	-	1	12
2013	중구	제조업	9,959	1,788	26,614	18,415	8,199	9,218	21,100	728	5,410	10	92	3	12	9,799	24,768	85	1,457	75	389
2013	중구	전기 가스 증기 및 수도사업	6	-	646	500	146	-	-	4	260	2	386	-	-	2	189	3	259	1	198
2013	중구	하수폐기물처리 원료재생 및 환경복원업	9	-	135	120	15	-	-	9	135	-	-	-	-	8	133	-	-	1	2
2013	중구	건설업	398	38	7,517	6,039	1,478	210	354	187	7,103	1	60	-	-	361	1,688	23	3,390	14	2,439
