기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	서울시	합계	822,863	278,152	5,119,913	2,848,150	2,271,763	628,981	1,582,451	153,609	2,730,632	19,458	681,386	20,815	125,444	766,329	3,253,437	16,088	1,121,605	40,446	744,871
2017	서울시	농업 임업 및 어업	29	6	469	381	88	-	-	21	231	8	238	-	-	23	139	4	319	2	11
2017	서울시	광업	21	2	66	58	8	-	-	21	66	-	-	-	-	17	54	4	12	-	-
2017	서울시	제조업	61,583	14,202	277,920	161,452	116,468	51,655	161,109	9,767	114,677	136	1,860	25	274	59,749	232,656	1,074	34,642	760	10,622
2017	서울시	전기 가스 증기 및 공기조절 공급업	139	8	5,576	4,399	1,177	13	21	88	2,758	37	2,792	1	5	78	579	11	1,769	50	3,228
2017	서울시	수도 하수 및 폐기물 처리 원료 재생업	445	51	8,963	7,636	1,327	60	197	291	6,245	94	2,521	-	-	391	7,646	25	848	29	469
2017	서울시	건설업	22,228	3,227	385,208	333,644	51,564	11,486	32,898	10,707	351,566	32	738	3	6	20,992	256,054	679	112,226	557	16,928
2017	서울시	도매 및 소매업	228,295	83,957	888,464	491,158	397,306	172,549	367,035	54,945	514,621	704	5,411	97	1,397	209,493	576,501	5,269	174,344	13,533	137,619
2017	서울시	운수 및 창고업	93,702	4,399	274,793	228,462	46,331	87,996	98,663	4,843	156,154	788	19,380	75	596	91,720	180,588	700	62,535	1,282	31,670
2017	서울시	숙박 및 음식점업	130,195	70,035	474,515	193,031	281,484	120,113	356,144	9,703	115,186	267	2,659	112	526	122,709	382,738	694	12,858	6,792	78,919
