기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
2017	서울시	정보통신업	23,206	3,731	345,030	238,472	106,558	6,752	18,283	15,915	310,313	463	16,005	76	429	21,498	212,831	846	99,729	862	32,470
2017	서울시	금융 및 보험업	11,165	1,754	268,252	136,278	131,974	1,677	3,855	7,959	228,758	1,470	35,403	59	236	5,066	45,013	631	109,941	5,468	113,298
2017	서울시	부동산업	39,677	12,883	158,593	102,731	55,862	28,041	50,573	7,062	70,928	476	5,073	4,098	32,019	37,983	118,616	540	25,506	1,154	14,471
2017	서울시	전문 과학 및 기술 서비스업	38,937	6,411	437,822	279,908	157,914	19,570	65,780	15,633	302,035	3,487	68,756	247	1,251	33,797	223,674	2,686	154,327	2,454	59,821
2017	서울시	사업시설 관리 사업 지원 및 임대 서비스업	15,950	4,502	478,382	235,606	242,776	6,355	18,763	9,064	450,172	283	7,085	248	2,362	13,306	205,536	1,113	221,777	1,531	51,069
2017	서울시	공공행정 국방 및 사회보장 행정	1,296	120	138,150	88,661	49,489	-	-	-	-	1,294	137,845	2	305	1,264	134,698	7	2,175	25	1,277
2017	서울시	교육 서비스업	34,762	18,575	341,732	131,623	210,109	26,689	78,134	4,221	58,335	2,952	196,807	900	8,456	31,625	198,895	663	58,011	2,474	84,826
2017	서울시	보건업 및 사회복지 서비스업	28,683	11,736	358,563	73,846	284,717	24,019	184,238	232	4,012	1,929	128,350	2,503	41,963	27,260	251,169	277	29,974	1,146	77,420
2017	서울시	예술 스포츠 및 여가관련 서비스업	22,913	9,302	86,452	46,830	39,622	20,163	46,916	1,502	17,504	744	19,650	504	2,382	21,987	66,946	178	4,900	748	14,606
2017	서울시	협회 및 단체 수리 및 기타 개인 서비스업	69,637	33,251	190,963	93,974	96,989	51,843	99,842	1,635	27,071	4,294	30,813	11,865	33,237	67,371	159,104	687	15,712	1,579	16,147
2017	종로구	합계	40,490	13,577	268,702	154,100	114,602	31,924	77,155	6,351	137,652	1,330	49,402	885	4,493	37,806	144,547	814	86,116	1,870	38,039
2017	종로구	농업 임업 및 어업	3	1	30	20	10	-	-	2	17	1	13	-	-	2	14	1	16	-	-
2017	종로구	광업	4	-	10	8	2	-	-	4	10	-	-	-	-	3	5	1	5	-	-
2017	종로구	제조업	4,450	1,182	13,078	7,516	5,562	4,182	10,698	263	2,365	4	7	1	8	4,384	12,032	39	815	27	231
2017	종로구	전기 가스 증기 및 공기조절 공급업	7	-	363	269	94	-	-	7	363	-	-	-	-	5	329	1	21	1	13
2017	종로구	수도 하수 및 폐기물 처리 원료 재생업	6	3	136	128	8	1	3	5	133	-	-	-	-	6	136	-	-	-	-
2017	종로구	건설업	339	42	30,754	27,162	3,592	195	427	144	30,327	-	-	-	-	311	2,005	18	25,510	10	3,239
2017	종로구	도매 및 소매업	17,025	5,789	44,263	25,103	19,160	14,778	26,262	2,192	17,668	48	259	7	74	16,221	33,483	251	5,404	553	5,376
2017	종로구	운수 및 창고업	1,350	96	6,818	5,010	1,808	956	1,505	367	4,872	23	396	4	45	1,257	3,553	46	2,566	47	699
2017	종로구	숙박 및 음식점업	6,724	3,559	26,577	10,525	16,052	6,058	19,182	630	7,143	30	214	6	38	6,224	20,524	49	461	451	5,592
2017	종로구	정보통신업	883	175	18,628	12,843	5,785	376	989	445	16,784	44	762	18	93	790	8,780	29	3,808	64	6,040
2017	종로구	금융 및 보험업	551	94	21,634	11,148	10,486	94	138	394	20,423	63	1,073	-	-	282	3,541	46	13,941	223	4,152
2017	종로구	부동산업	1,301	299	7,223	4,702	2,521	871	1,639	312	4,674	36	284	82	626	1,212	4,114	32	2,114	57	995
2017	종로구	전문 과학 및 기술 서비스업	1,499	311	20,315	11,876	8,439	809	5,858	485	11,677	169	2,659	36	121	1,313	11,062	96	6,890	90	2,363
2017	종로구	사업시설 관리 사업 지원 및 임대 서비스업	1,242	385	18,625	8,406	10,219	427	970	771	17,283	26	245	18	127	1,092	6,556	67	9,043	83	3,026
2017	종로구	공공행정 국방 및 사회보장 행정	90	13	16,504	11,526	4,978	-	-	-	-	90	16,504	-	-	88	16,485	-	-	2	19
2017	종로구	교육 서비스업	852	356	13,317	5,880	7,437	496	1,685	165	2,381	145	8,974	46	277	736	6,043	32	3,165	84	4,109
2017	종로구	보건업 및 사회복지 서비스업	732	264	15,954	4,167	11,787	581	3,514	7	46	84	11,437	60	957	676	5,301	16	9,891	40	762
2017	종로구	예술 스포츠 및 여가관련 서비스업	926	279	6,198	3,258	2,940	659	1,686	128	1,202	106	3,191	33	119	851	4,482	22	949	53	767
2017	종로구	협회 및 단체 수리 및 기타 개인 서비스업	2,506	729	8,275	4,553	3,722	1,441	2,599	30	284	461	3,384	574	2,008	2,353	6,102	68	1,517	85	656
2017	중구	합계	62,936	23,334	386,648	212,533	174,115	51,190	118,836	9,968	215,927	1,105	48,228	673	3,657	58,476	215,576	1,248	116,517	3,212	54,555
2017	중구	광업	2	-	3	3	-	-	-	2	3	-	-	-	-	2	3	-	-	-	-
2017	중구	제조업	9,947	2,022	30,475	20,097	10,378	9,124	24,584	803	5,727	18	156	2	8	9,808	28,832	68	1,244	71	399
2017	중구	전기 가스 증기 및 공기조절 공급업	5	1	689	538	151	1	2	1	2	3	685	-	-	2	4	-	-	3	685
2017	중구	수도 하수 및 폐기물 처리 원료 재생업	9	-	343	286	57	-	-	8	162	1	181	-	-	9	343	-	-	-	-
2017	중구	건설업	402	35	5,462	4,499	963	214	568	186	4,822	2	72	-	-	362	2,551	22	1,398	18	1,513
2017	중구	도매 및 소매업	32,867	14,981	97,809	48,191	49,618	29,160	55,870	3,670	41,752	32	172	5	15	31,154	67,583	413	17,325	1,300	12,901
2017	중구	운수 및 창고업	1,484	162	14,172	9,655	4,517	804	1,648	637	11,862	40	651	3	11	1,252	5,504	124	6,074	108	2,594
2017	중구	숙박 및 음식점업	6,141	3,135	31,793	13,469	18,324	5,312	17,911	802	13,382	21	460	6	40	5,514	21,313	54	3,882	573	6,598
2017	중구	정보통신업	929	164	25,116	17,708	7,408	359	816	537	23,508	27	723	6	69	831	9,762	54	13,599	44	1,755
2017	중구	금융 및 보험업	1,260	209	51,405	27,773	23,632	283	641	860	43,933	110	6,716	7	115	665	7,971	94	32,075	501	11,359
2017	중구	부동산업	1,661	370	8,913	5,974	2,939	1,015	2,030	516	5,808	38	369	92	706	1,521	5,642	50	1,552	90	1,719
2017	중구	전문 과학 및 기술 서비스업	2,698	479	35,960	21,839	14,121	1,737	5,175	779	27,179	160	3,334	22	272	2,402	14,298	167	17,175	129	4,487
2017	중구	사업시설 관리 사업 지원 및 임대 서비스업	1,484	356	36,580	18,600	17,980	498	1,227	948	34,922	23	355	15	76	1,222	16,750	109	15,455	153	4,375
2017	중구	공공행정 국방 및 사회보장 행정	63	5	18,145	11,693	6,452	-	-	-	-	63	18,145	-	-	61	17,559	1	455	1	131
2017	중구	교육 서비스업	454	220	8,307	3,929	4,378	236	595	93	1,042	98	6,463	27	207	363	2,974	20	2,993	71	2,340
2017	중구	보건업 및 사회복지 서비스업	734	227	9,437	2,206	7,231	600	3,940	8	82	72	4,768	54	647	687	5,990	13	1,494	34	1,953
2017	중구	예술 스포츠 및 여가관련 서비스업	574	199	3,546	1,794	1,752	455	1,016	60	1,060	45	1,416	14	54	526	2,518	10	76	38	952
2017	중구	협회 및 단체 수리 및 기타 개인 서비스업	2,222	769	8,493	4,279	4,214	1,392	2,813	58	681	352	3,562	420	1,437	2,095	5,979	49	1,720	78	794
2017	용산구	합계	20,806	7,021	133,260	73,658	59,602	15,130	36,035	4,605	72,282	595	20,681	476	4,262	18,968	76,137	538	35,298	1,300	21,825
2017	용산구	제조업	1,054	256	3,446	2,009	1,437	927	2,574	123	822	4	50	-	-	1,023	3,112	17	222	14	112
2017	용산구	전기 가스 증기 및 공기조절 공급업	4	1	11	7	4	1	1	3	10	-	-	-	-	3	7	1	4	-	-
2017	용산구	수도 하수 및 폐기물 처리 원료 재생업	11	1	142	122	20	3	6	7	134	1	2	-	-	10	111	-	-	1	31
2017	용산구	건설업	423	69	6,834	5,832	1,002	235	503	183	5,947	5	384	-	-	387	3,334	18	2,572	18	928
2017	용산구	도매 및 소매업	7,258	2,204	27,506	17,308	10,198	4,929	9,196	2,305	18,073	21	230	3	7	6,644	18,419	198	5,265	416	3,822
2017	용산구	운수 및 창고업	1,367	87	3,919	2,884	1,035	1,249	1,444	91	1,452	26	991	1	32	1,305	2,167	15	352	47	1,400
2017	용산구	숙박 및 음식점업	4,453	2,228	18,201	8,480	9,721	3,909	11,818	531	6,315	9	51	4	17	4,071	13,952	62	630	320	3,619
2017	용산구	정보통신업	525	99	9,492	6,637	2,855	188	462	311	8,156	23	864	3	10	478	3,969	21	3,886	26	1,637
2017	용산구	금융 및 보험업	292	41	5,921	2,555	3,366	39	76	208	4,709	44	1,131	1	5	90	593	20	1,662	182	3,666
2017	용산구	부동산업	1,083	376	4,426	2,950	1,476	815	1,343	141	1,813	13	80	114	1,190	1,038	3,018	19	1,038	26	370
2017	용산구	전문 과학 및 기술 서비스업	784	153	17,785	9,390	8,395	405	1,074	316	13,319	57	3,379	6	13	671	4,570	69	12,588	44	627
2017	용산구	사업시설 관리 사업 지원 및 임대 서비스업	348	99	10,838	5,335	5,503	127	902	210	9,590	8	155	3	191	273	5,173	31	3,806	44	1,859
2017	용산구	공공행정 국방 및 사회보장 행정	50	6	3,219	2,145	1,074	-	-	-	-	50	3,219	-	-	49	3,206	-	-	1	13
2017	용산구	교육 서비스업	539	315	7,297	2,361	4,936	353	987	71	737	93	5,299	22	274	462	3,850	17	2,276	60	1,171
2017	용산구	보건업 및 사회복지 서비스업	554	232	6,367	1,457	4,910	424	2,520	3	21	51	2,469	76	1,357	522	4,297	8	73	24	1,997
2017	용산구	예술 스포츠 및 여가관련 서비스업	410	153	2,188	1,154	1,034	333	777	40	405	21	929	16	77	392	1,850	5	232	13	106
2017	용산구	협회 및 단체 수리 및 기타 개인 서비스업	1,651	701	5,668	3,032	2,636	1,193	2,352	62	779	169	1,448	227	1,089	1,550	4,509	37	692	64	467
2017	성동구	합계	27,278	8,237	167,308	98,497	68,811	19,942	52,077	6,136	87,725	569	23,276	631	4,230	25,401	110,221	649	30,924	1,228	26,163
2017	성동구	농업 임업 및 어업	1	-	2	1	1	-	-	1	2	-	-	-	-	1	2	-	-	-	-
2017	성동구	제조업	4,612	914	28,130	17,730	10,400	3,556	13,312	1,042	14,693	12	116	2	9	4,363	21,895	156	4,807	93	1,428
2017	성동구	전기 가스 증기 및 공기조절 공급업	5	-	410	362	48	1	2	2	325	2	83	-	-	1	2	1	319	3	89
2017	성동구	수도 하수 및 폐기물 처리 원료 재생업	30	4	745	613	132	1	5	17	239	12	501	-	-	25	709	1	14	4	22
2017	성동구	건설업	649	107	5,981	4,940	1,041	325	913	323	5,053	1	15	-	-	602	4,637	22	836	25	508
2017	성동구	도매 및 소매업	7,250	2,192	32,412	19,729	12,683	4,813	10,723	2,416	21,552	19	132	2	5	6,643	21,288	232	7,463	375	3,661
2017	성동구	운수 및 창고업	2,683	130	8,295	7,288	1,007	2,529	3,065	113	3,112	37	2,095	4	23	2,617	5,483	16	285	50	2,527
2017	성동구	숙박 및 음식점업	3,786	2,063	11,744	4,765	6,979	3,568	9,830	205	1,857	10	43	3	14	3,633	10,394	6	91	147	1,259
2017	성동구	정보통신업	744	85	8,701	6,207	2,494	158	429	573	8,112	13	160	-	-	677	6,919	38	1,050	29	732
2017	성동구	금융 및 보험업	293	44	4,023	1,705	2,318	71	163	175	3,406	47	454	-	-	141	950	11	423	141	2,650
2017	성동구	부동산업	1,272	422	5,433	3,208	2,225	883	1,525	198	2,477	13	59	178	1,372	1,225	4,228	14	873	33	332
2017	성동구	전문 과학 및 기술 서비스업	1,199	192	11,663	7,458	4,205	549	1,723	572	8,407	71	1,478	7	55	1,029	6,724	79	3,631	91	1,308
2017	성동구	사업시설 관리 사업 지원 및 임대 서비스업	385	96	15,503	8,477	7,026	149	441	218	13,973	12	1,039	6	50	305	3,914	32	10,108	48	1,481
2017	성동구	공공행정 국방 및 사회보장 행정	47	2	4,373	3,062	1,311	-	-	-	-	47	4,373	-	-	46	4,353	-	-	1	20
2017	성동구	교육 서비스업	886	502	11,311	4,768	6,543	658	1,698	84	1,253	104	7,926	40	434	816	5,477	9	262	61	5,572
2017	성동구	보건업 및 사회복지 서비스업	743	325	8,357	1,828	6,529	611	4,141	6	70	38	2,869	88	1,277	719	5,727	1	22	23	2,608
2017	성동구	예술 스포츠 및 여가관련 서비스업	593	230	2,529	1,416	1,113	528	1,170	36	316	17	999	12	44	563	1,931	6	199	24	399
2017	성동구	협회 및 단체 수리 및 기타 개인 서비스업	2,100	929	7,696	4,940	2,756	1,542	2,937	155	2,878	114	934	289	947	1,995	5,588	25	541	80	1,567
2017	광진구	합계	24,688	8,912	125,170	69,037	56,133	20,194	50,644	3,389	50,153	471	20,946	634	3,427	23,280	88,746	319	15,612	1,089	20,812
2017	광진구	농업 임업 및 어업	1	-	3	1	2	-	-	-	-	1	3	-	-	1	3	-	-	-	-
2017	광진구	제조업	1,853	478	7,616	4,070	3,546	1,578	5,295	270	2,145	3	141	2	35	1,807	6,739	31	668	15	209
2017	광진구	전기 가스 증기 및 공기조절 공급업	2	-	3	3	-	1	2	-	-	1	1	-	-	1	2	-	-	1	1
2017	광진구	수도 하수 및 폐기물 처리 원료 재생업	16	2	240	215	25	1	19	10	128	5	93	-	-	14	211	-	-	2	29
2017	광진구	건설업	796	107	12,798	11,679	1,119	459	1,259	336	11,538	1	1	-	-	760	11,448	16	940	20	410
2017	광진구	도매 및 소매업	6,103	2,142	19,488	10,615	8,873	4,792	10,333	1,292	9,054	18	98	1	3	5,590	14,559	112	1,853	401	3,076
2017	광진구	운수 및 창고업	2,518	115	6,133	5,692	441	2,420	2,859	73	2,547	24	724	1	3	2,458	4,419	10	382	50	1,332
2017	광진구	숙박 및 음식점업	4,675	2,523	16,498	7,017	9,481	4,423	12,994	242	3,457	10	47	-	-	4,487	13,493	16	127	172	2,878
2017	광진구	정보통신업	391	77	3,791	2,390	1,401	144	404	237	2,368	10	1,019	-	-	359	2,885	10	412	22	494
2017	광진구	금융 및 보험업	223	35	4,579	2,381	2,198	38	79	147	3,968	38	532	-	-	93	783	13	506	117	3,290
2017	광진구	부동산업	1,201	462	3,241	2,083	1,158	937	1,456	137	804	9	46	118	935	1,175	2,876	12	167	14	198
2017	광진구	전문 과학 및 기술 서비스업	726	115	4,061	2,502	1,559	428	1,252	258	1,995	39	808	1	6	655	3,228	32	449	39	384
2017	광진구	사업시설 관리 사업 지원 및 임대 서비스업	440	127	9,998	5,783	4,215	220	584	215	9,282	4	131	1	1	366	4,735	28	4,289	46	974
2017	광진구	공공행정 국방 및 사회보장 행정	36	5	2,523	1,644	879	-	-	-	-	36	2,523	-	-	35	2,516	-	-	1	7
2017	광진구	교육 서비스업	1,159	613	14,191	6,079	8,112	911	2,550	98	1,116	111	10,184	39	341	1,053	5,806	20	5,188	86	3,197
2017	광진구	보건업 및 사회복지 서비스업	904	370	10,686	2,298	8,388	771	5,639	7	215	40	3,615	86	1,217	872	7,611	2	243	30	2,832
2017	광진구	예술 스포츠 및 여가관련 서비스업	1,052	474	3,746	2,022	1,724	984	2,120	34	1,084	26	522	8	20	1,024	2,330	5	194	23	1,222
2017	광진구	협회 및 단체 수리 및 기타 개인 서비스업	2,592	1,267	5,575	2,563	3,012	2,087	3,799	33	452	95	458	377	866	2,530	5,102	12	194	50	279
2017	동대문구	합계	32,411	10,677	142,842	76,058	66,784	27,573	65,270	3,520	43,990	575	28,794	743	4,788	31,051	103,039	350	16,364	1,010	23,439
2017	동대문구	광업	1	-	1	1	-	-	-	1	1	-	-	-	-	1	1	-	-	-	-
2017	동대문구	제조업	3,539	856	14,237	7,432	6,805	3,105	10,372	428	3,822	5	40	1	3	3,471	13,028	44	1,052	24	157
2017	동대문구	전기 가스 증기 및 공기조절 공급업	1	-	3	3	-	-	-	1	3	-	-	-	-	1	3	-	-	-	-
2017	동대문구	수도 하수 및 폐기물 처리 원료 재생업	17	-	147	130	17	3	8	7	120	7	19	-	-	16	144	-	-	1	3
2017	동대문구	건설업	775	102	6,270	5,327	943	499	1,340	274	4,798	2	132	-	-	761	5,940	8	126	6	204
2017	동대문구	도매 및 소매업	11,272	3,640	31,474	18,568	12,906	9,543	19,137	1,699	12,156	28	177	2	4	10,788	26,050	148	2,058	336	3,366
2017	동대문구	운수 및 창고업	3,602	157	6,889	6,339	550	3,509	4,154	65	1,329	20	1,278	8	128	3,569	5,453	3	43	30	1,393
2017	동대문구	숙박 및 음식점업	4,909	2,843	14,047	5,478	8,569	4,733	12,394	169	1,579	5	51	2	23	4,775	12,723	13	108	121	1,216
2017	동대문구	정보통신업	277	49	1,855	1,064	791	156	366	104	1,114	16	371	1	4	256	1,151	7	132	14	572
2017	동대문구	금융 및 보험업	292	39	5,002	1,680	3,322	39	70	190	4,350	63	582	-	-	79	828	14	273	199	3,901
2017	동대문구	부동산업	1,309	412	4,589	3,167	1,422	1,047	1,801	117	1,615	20	107	125	1,066	1,277	3,756	9	623	23	210
2017	동대문구	전문 과학 및 기술 서비스업	591	96	7,425	5,037	2,388	368	1,146	155	4,215	52	1,998	16	66	519	3,134	39	3,444	33	847
2017	동대문구	사업시설 관리 사업 지원 및 임대 서비스업	441	130	9,109	4,478	4,631	225	527	196	7,301	11	1,248	9	33	364	3,482	26	4,982	51	645
2017	동대문구	공공행정 국방 및 사회보장 행정	50	1	4,267	2,658	1,609	-	-	-	-	50	4,267	-	-	50	4,267	-	-	-	-
2017	동대문구	교육 서비스업	985	524	15,117	6,832	8,285	769	2,145	56	978	123	11,563	37	431	899	6,976	14	2,944	72	5,197
2017	동대문구	보건업 및 사회복지 서비스업	1,006	400	14,693	3,707	10,986	846	7,002	4	22	47	5,899	109	1,770	972	9,441	5	287	29	4,965
2017	동대문구	예술 스포츠 및 여가관련 서비스업	749	290	2,376	1,269	1,107	696	1,597	21	134	17	568	15	77	726	1,833	6	187	17	356
2017	동대문구	협회 및 단체 수리 및 기타 개인 서비스업	2,595	1,138	5,341	2,888	2,453	2,035	3,211	33	453	109	494	418	1,183	2,527	4,829	14	105	54	407
2017	중랑구	합계	28,045	9,343	102,758	53,237	49,521	24,967	59,360	1,867	25,574	418	14,602	793	3,222	27,101	83,829	148	6,667	796	12,262
2017	중랑구	광업	1	1	3	2	1	-	-	1	3	-	-	-	-	1	3	-	-	-	-
2017	중랑구	제조업	3,578	1,086	16,259	6,798	9,461	3,345	14,010	223	2,123	9	100	1	26	3,526	15,682	21	282	31	295
2017	중랑구	전기 가스 증기 및 공기조절 공급업	6	-	123	80	43	1	1	4	39	1	83	-	-	5	40	-	-	1	83
2017	중랑구	수도 하수 및 폐기물 처리 원료 재생업	20	2	214	186	28	5	12	11	193	4	9	-	-	19	201	-	-	1	13
2017	중랑구	건설업	920	114	5,503	4,723	780	668	1,885	251	3,609	1	9	-	-	895	4,883	13	479	12	141
2017	중랑구	도매 및 소매업	5,416	2,094	16,124	8,536	7,588	4,670	10,053	732	5,669	12	398	2	4	5,083	12,489	47	871	286	2,764
2017	중랑구	운수 및 창고업	6,412	232	13,473	12,808	665	6,306	6,812	88	6,019	18	642	-	-	6,371	11,618	6	642	35	1,213
2017	중랑구	숙박 및 음식점업	4,154	2,493	10,944	4,062	6,882	4,071	9,979	77	945	3	11	3	9	4,089	10,069	4	43	61	832
2017	중랑구	정보통신업	134	25	1,118	650	468	67	190	60	726	7	202	-	-	119	640	2	83	13	395
2017	중랑구	금융 및 보험업	150	21	1,713	678	1,035	35	89	68	1,048	47	576	-	-	59	281	10	158	81	1,274
2017	중랑구	부동산업	1,061	377	2,757	1,745	1,012	857	1,366	68	677	7	51	129	663	1,028	2,181	5	353	28	223
2017	중랑구	전문 과학 및 기술 서비스업	320	53	1,626	999	627	219	637	73	808	25	168	3	13	283	948	11	469	26	209
2017	중랑구	사업시설 관리 사업 지원 및 임대 서비스업	308	75	2,832	1,666	1,166	178	506	113	2,167	9	100	8	59	250	1,286	9	637	49	909
2017	중랑구	공공행정 국방 및 사회보장 행정	47	6	3,350	2,224	1,126	-	-	-	-	47	3,350	-	-	47	3,350	-	-	-	-
2017	중랑구	교육 서비스업	922	552	7,863	2,466	5,397	770	2,180	51	947	72	4,478	29	258	863	5,435	9	857	50	1,571
2017	중랑구	보건업 및 사회복지 서비스업	985	439	11,586	2,065	9,521	852	6,787	3	72	59	3,841	71	886	937	8,167	7	1,762	41	1,657
2017	중랑구	예술 스포츠 및 여가관련 서비스업	896	369	2,302	1,222	1,080	816	1,667	11	113	22	315	47	207	878	1,953	-	-	18	349
2017	중랑구	협회 및 단체 수리 및 기타 개인 서비스업	2,715	1,404	4,968	2,327	2,641	2,107	3,186	33	416	75	269	500	1,097	2,648	4,603	4	31	63	334
2017	성북구	합계	24,039	8,878	108,991	53,234	55,757	20,844	51,126	1,768	24,719	665	28,956	762	4,190	23,003	78,554	193	13,013	843	17,424
2017	성북구	제조업	2,424	660	9,199	4,188	5,011	2,305	8,080	117	1,115	2	4	-	-	2,406	8,864	11	268	7	67
2017	성북구	전기 가스 증기 및 공기조절 공급업	5	-	11	10	1	1	1	4	10	-	-	-	-	4	6	-	-	1	5
2017	성북구	수도 하수 및 폐기물 처리 원료 재생업	11	2	177	157	20	3	4	7	171	1	2	-	-	11	177	-	-	-	-
2017	성북구	건설업	569	71	4,093	3,465	628	401	1,083	166	2,963	2	47	-	-	550	3,520	9	397	10	176
2017	성북구	도매 및 소매업	4,927	1,945	15,313	7,785	7,528	4,261	9,689	652	5,557	14	67	-	-	4,635	12,154	54	935	238	2,224
2017	성북구	운수 및 창고업	3,520	156	6,708	6,347	361	3,466	3,736	42	2,821	11	150	1	1	3,501	5,891	5	658	14	159
2017	성북구	숙박 및 음식점업	4,415	2,490	12,731	5,088	7,643	4,235	11,181	168	1,472	10	66	2	12	4,284	11,455	10	101	121	1,175
2017	성북구	정보통신업	234	45	1,756	1,090	666	116	317	101	979	16	457	1	3	216	1,436	3	30	15	290
2017	성북구	금융 및 보험업	151	22	1,600	707	893	24	56	74	1,078	52	464	1	2	47	252	10	91	94	1,257
2017	성북구	부동산업	1,099	428	2,673	1,694	979	889	1,255	65	449	20	69	125	900	1,068	2,346	6	40	25	287
2017	성북구	전문 과학 및 기술 서비스업	456	74	3,954	2,416	1,538	263	679	141	1,565	37	1,657	15	53	410	1,795	16	1,739	30	420
2017	성북구	사업시설 관리 사업 지원 및 임대 서비스업	262	91	5,601	2,924	2,677	164	553	90	4,962	7	85	1	1	232	2,631	14	2,344	16	626
2017	성북구	공공행정 국방 및 사회보장 행정	52	7	3,915	2,514	1,401	-	-	-	-	52	3,915	-	-	51	3,911	-	-	1	4
2017	성북구	교육 서비스업	1,372	783	20,652	8,473	12,179	1,076	3,050	89	973	183	16,486	24	143	1,214	7,854	17	5,884	141	6,914
2017	성북구	보건업 및 사회복지 서비스업	1,065	481	12,533	2,333	10,200	831	6,362	7	200	125	4,440	102	1,531	997	9,081	11	212	57	3,240
2017	성북구	예술 스포츠 및 여가관련 서비스업	735	280	2,130	1,211	919	671	1,498	25	188	29	422	10	22	704	1,731	3	24	28	375
2017	성북구	협회 및 단체 수리 및 기타 개인 서비스업	2,742	1,343	5,945	2,832	3,113	2,138	3,582	20	216	104	625	480	1,522	2,673	5,450	24	290	45	205
2017	강북구	합계	18,928	6,992	71,752	33,422	38,330	16,747	40,469	1,155	17,279	345	10,151	681	3,853	18,158	58,585	95	2,023	675	11,144
2017	강북구	제조업	1,541	410	6,621	2,872	3,749	1,468	5,771	71	804	2	46	-	-	1,523	6,316	10	217	8	88
2017	강북구	전기 가스 증기 및 공기조절 공급업	1	-	80	56	24	-	-	-	-	1	80	-	-	-	-	-	-	1	80
2017	강북구	수도 하수 및 폐기물 처리 원료 재생업	9	1	326	286	40	1	1	7	163	1	162	-	-	9	326	-	-	-	-
2017	강북구	건설업	498	60	2,057	1,695	362	377	885	121	1,172	-	-	-	-	490	1,974	3	12	5	71
2017	강북구	도매 및 소매업	3,857	1,609	10,768	5,324	5,444	3,427	7,597	407	3,095	14	61	9	15	3,623	8,721	32	333	202	1,714
2017	강북구	운수 및 창고업	3,192	129	6,822	6,498	324	3,136	3,429	33	3,131	14	235	9	27	3,167	5,676	4	704	21	442
2017	강북구	숙박 및 음식점업	3,681	2,146	10,569	4,091	6,478	3,589	9,476	79	1,035	9	48	4	10	3,612	9,669	2	15	67	885
2017	강북구	정보통신업	101	17	715	417	298	51	145	39	450	10	119	1	1	86	364	4	59	11	292
2017	강북구	금융 및 보험업	253	65	4,027	970	3,057	59	184	165	3,488	29	355	-	-	84	463	3	71	166	3,493
2017	강북구	부동산업	789	299	1,776	1,117	659	660	1,030	48	298	7	21	74	427	770	1,640	4	30	15	106
2017	강북구	전문 과학 및 기술 서비스업	275	43	1,123	607	516	216	717	39	250	20	156	-	-	248	894	8	72	19	157
2017	강북구	사업시설 관리 사업 지원 및 임대 서비스업	218	75	3,321	1,234	2,087	132	402	75	2,543	4	39	7	337	184	2,219	7	118	27	984
