기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2016	서울시	합계	820,156	274,620	5,079,451	2,847,402	2,232,049	631,779	1,573,964	149,198	2,707,718	19,078	682,454	20,101	115,315	765,609	3,253,718	15,493	1,072,058	39,054	753,675
2016	서울시	농업 임업 및 어업	24	6	463	386	77	-	-	16	240	8	223	-	-	18	149	4	310	2	4
2016	서울시	광업	18	2	54	48	6	-	-	18	54	-	-	-	-	16	44	2	10	-	-
2016	서울시	제조업	61,140	13,783	279,103	162,001	117,102	51,481	157,043	9,524	120,060	118	1,834	17	166	59,355	229,277	1,071	38,980	714	10,846
2016	서울시	전기 가스 증기 및 수도사업	137	5	7,617	5,973	1,644	8	16	69	2,860	59	4,736	1	5	71	2,173	14	2,096	52	3,348
2016	서울시	하수폐기물처리 원료재생 및 환경복원업	439	56	6,597	5,727	870	65	207	300	5,957	74	433	-	-	386	5,497	24	707	29	393
2016	서울시	건설업	22,260	3,130	365,074	316,057	49,017	11,606	31,833	10,629	332,486	21	746	4	9	21,123	248,313	659	101,200	478	15,561
2016	서울시	도매 및 소매업	230,834	84,738	891,454	496,701	394,753	177,492	374,808	52,613	510,135	630	5,300	99	1,211	213,151	587,617	5,080	167,918	12,603	135,919
2016	서울시	운수업	94,842	4,523	276,926	230,657	46,269	89,106	100,518	4,850	156,377	807	19,485	79	546	92,849	186,811	692	58,837	1,301	31,278
2016	서울시	숙박 및 음식점업	128,141	69,831	470,357	190,938	279,419	118,840	351,476	8,973	115,696	241	2,760	87	425	121,166	379,283	600	11,577	6,375	79,497
