,title,url,date,summary
25,"ARM, 차세대 CPU '마테호른·마칼루' 공개",http://v.media.daum.net/v/20201012172404734?f=o, 12분전 | 지디넷코리아 | 다음뉴스 ,"온칩은 사용 사례가 점점 더 복잡해지고 기기에서 직접 처리되는 인공지능 및 머신러닝 워크로드가 증가함에 따라 계속해서 더 많은 혁신이 요구되고 있다""며 ""ARM은 지난..."
26,"""누구나 쉽게 머신러닝 활용하는 세상 돼야죠""",http://v.media.daum.net/v/20200819174425100?f=o, 2020.08.19 | 서울경제 | 다음뉴스 ,스와미 시바수브라마니안 AWS 머신러닝 부사장/사진제공=AWS코리아 [서울경제] “누구나 쉽게 머신러닝(기계학습)이나 인공지능(AI)을 활용하는 세상을 열어주는 데 도움이...
27,"마곡 스마트시티 리빙랩 사업 지원기업 ㈜나인투원, 머신러닝으로...",https://cp.news.search.daum.net/p/97650463, 2020.09.22 | 아이티비즈 ,IoT 센서로 수집한 환경정보를 알려주는 '에코 인공지능 사물인터넷(AIoT) 챗봇' △머신러닝 기술을 활용해 주차구역 내 공유 자전거 주차 시 인센티브를 부여하는 'Semi...
28,'AI 기자'부터 음성 합성까지..AI 기술 강화하는 엔씨소프트,http://v.media.daum.net/v/20201012111302092?f=o, 6시간전 | 한국경제 | 다음뉴스 ,미리 만든 틀에 적용해 만든 방식이었다. 엔씨소프트가 개발한 'AI 기자'는 머신러닝 기반 자연어처리(NLP)기술을 습득해 문장을 자체 생산할 수 있다는 점에서 차이가...
29,인공지능과 머신러닝이 데브옵스를 만나면 이루어질 수 있는 일들...,https://cp.news.search.daum.net/p/97963809, 2020.10.02 | 인공지능신문 ,"최근 데브옵스(DevOps)에서 인공지능과 머신러닝 기술이 부상하고 있다. 이러한 조합은 기존 DevOps 도구 스택에 통합하기 위한 강력한 후보가 되고 있으며, 의사 결정..."
30,"[기고] 제조업의 혁신, 스마트 팩토리를 이끄는 '산업용 IoT'",http://v.media.daum.net/v/20201012155919924?f=o, 1시간전 | 지디넷코리아 | 다음뉴스 ,망설이거나 효과에 의문을 갖는다면 전문 업체의 도움을 받는 것이 좋다. ■ 머신러닝 기반 예지 정비 플랫폼 예지 정비(Predictive Maintenance)는 현재 가장 눈에 띄는...
31,"""1년 반 동안 2만 데이터 축적""..세아베스틸의 '머신러닝' 활용법",http://v.media.daum.net/v/20200914135528293?f=o, 2020.09.14 | 머니투데이 | 다음뉴스 ,세아베스틸이 머신러닝을 활용해 특수강 제조 작업의 편의성과 정확도를 높인다. 세아베스틸은 군산공장 소형압연 생산라인에 머신비전 기술을 활용한 '스파크 자동판정...
32,"Arm, '네오버스' 로드맵 공개... 차세대 클라우드·HPC·머신러닝...",https://cp.news.search.daum.net/p/97678778, 2020.09.23 | 인공지능신문 ,"첫 시작으로, SVE(Scalable Vector Extension)를 지원하여 고성능 클라우드, HPC, 머신러닝 등의 다양한 시장에 막대한 잠재력을 제공한다. 네오버스 N2는 더욱 높은 성능의..."
33,"[2020 GGGF] ​김기환 SK플래닛 매니저 “머신러닝 개발, 마케터-개...",https://cp.news.search.daum.net/p/97230143, 2020.09.10 | 아주경제신문 ,"“머신러닝 개발은 현업자와 개발자, 데이터사이언티스트 모든 분야가 협업해야 한다.”김기환 SK플래닛 데이터사이언티스트(매니저)는 10일 서울 중구 더플라자호텔에서..."
34,"[2020 GGGF] 데이나 번즈 “머신러닝, 소매업 마케팅 활용으로 매...",https://cp.news.search.daum.net/p/97185515, 2020.09.09 | 아주경제신문 ,“머신러닝의 많은 접근 방식이 소매업의 고객 전환과 매출 증대에 활용될 뿐 아니라 공급망 관리와 서비스 수행에도 적용되고 있다.”데이나 번즈 볼드 메트릭스(Bold...
